Temperature (K)	Magnetic Field (Oe)	Moment (emu)	M. Std. Err. (emu)
9.999844551	1129.473389	0.000151647	2.22E-07
10.00003958	1121.657349	0.000151593	2.37E-07
10.00007629	1113.648438	0.000151336	2.50E-07
9.999854565	1105.65686	0.000151406	2.57E-07
9.999547958	1097.637573	0.000151117	2.70E-07
9.999752045	1089.613892	0.000151156	1.94E-07
10.00004148	1081.659485	0.00015125	2.06E-07
9.999938965	1073.687744	0.000151003	2.52E-07
9.999787331	1065.665894	0.000150697	2.52E-07
9.999845028	1057.6427	0.000150738	2.24E-07
9.999893188	1049.580139	0.00015066	2.14E-07
9.99983263	1041.621094	0.000150463	2.35E-07
10.00009584	1033.447937	0.000150357	2.31E-07
10.00020933	1025.421753	0.000150315	1.87E-07
9.999709129	1017.370453	0.000150281	2.23E-07
9.999428749	1009.726105	0.000149982	2.35E-07
9.999699116	1001.601746	0.00014983	2.15E-07
9.99996233	993.7890625	0.000149941	2.46E-07
9.999931812	985.6895447	0.000149673	2.77E-07
9.999686241	977.691803	0.000149748	2.33E-07
9.999491215	969.6923828	0.000149606	2.43E-07
9.999421597	961.7371826	0.000149408	2.15E-07
9.999733448	953.7430115	0.000149362	2.23E-07
10.00033855	945.9190979	0.000149173	2.49E-07
10.00048685	937.6810608	0.000148943	2.58E-07
10.00019264	929.8605957	0.000148886	2.61E-07
9.999847889	921.7782898	0.000148662	2.35E-07
9.999910355	913.7823792	0.000148668	2.75E-07
10.00026083	905.9013977	0.000148397	2.42E-07
10.00047874	897.7075195	0.000148474	2.46E-07
10.00071716	889.9008789	0.000148034	2.64E-07
10.00077295	881.9093628	0.00014793	2.27E-07
10.00033855	873.9929504	0.000147682	2.97E-07
9.99998951	865.8197021	0.000147774	2.46E-07
10.00014114	857.8418274	0.000147542	2.31E-07
10.0002141	850.0646973	0.00014762	2.05E-07
9.999770641	841.9230652	0.00014755	2.30E-07
9.999403	833.8943176	0.000147075	2.32E-07
9.999672413	826.0225525	0.000147221	2.49E-07
10.00018215	818.0457764	0.000146836	2.63E-07
10.00033236	810.0914001	0.000146807	2.34E-07
9.999916077	802.0728455	0.000146568	2.30E-07
9.999259949	794.002533	0.000146603	2.36E-07
9.999171257	786.2288208	0.000146225	2.26E-07
9.999681473	778.2475891	0.000146132	2.49E-07
10.00020695	770.0189514	0.000146183	1.92E-07
10.00042248	762.0898132	0.000145934	2.61E-07
9.999971867	754.1679993	0.00014588	2.15E-07
9.999542713	746.1601868	0.000145691	2.05E-07
9.999629974	738.1841431	0.000145607	2.44E-07
9.99990797	730.0784302	0.000145319	2.18E-07
10.00014305	722.303894	0.000145131	2.38E-07
10.00044441	714.3320618	0.000145007	2.79E-07
10.00043869	706.2022095	0.000144839	2.19E-07
10.00000143	698.355835	0.000144637	2.35E-07
9.999631405	690.2880859	0.000144597	2.18E-07
9.999551773	682.2965088	0.000144441	2.58E-07
9.99934721	673.8830261	0.000144334	2.05E-07
9.999340534	666.1014709	0.000144255	2.38E-07
9.999791145	658.3294373	0.000143986	2.56E-07
10.00006485	650.2642822	0.00014365	2.37E-07
9.999949455	642.2519531	0.000143602	2.31E-07
9.999686241	634.3165894	0.000143613	2.45E-07
9.999517918	626.1625366	0.000143385	2.17E-07
9.999379635	618.357666	0.000143218	2.17E-07
9.999541759	610.324585	0.00014286	2.33E-07
9.999928474	602.2819214	0.000142587	2.27E-07
10.00011921	594.3179016	0.000142836	2.34E-07
9.999982357	586.3548584	0.00014246	2.24E-07
9.999875069	578.3036499	0.000142211	2.69E-07
10.00028324	570.0699768	0.000142203	2.33E-07
10.0004158	562.1693115	0.000141859	2.40E-07
10.00023603	554.3280945	0.00014183	2.23E-07
9.999969006	546.3225403	0.000141604	2.21E-07
9.999843121	538.397522	0.000141526	2.37E-07
10.0000596	530.1445313	0.000141274	2.32E-07
9.999854565	522.3334961	0.00014135	2.33E-07
9.999778748	514.5316162	0.000140845	2.55E-07
9.999988079	506.2892151	0.000140864	2.33E-07
10.00027275	498.2950439	0.000140928	2.21E-07
10.00046682	490.5879822	0.000140303	2.24E-07
10.00051737	482.1987457	0.000139892	2.34E-07
10.00035524	474.1734009	0.000139821	2.37E-07
10.00035	466.5301208	0.000139774	2.21E-07
10.00038052	458.3159027	0.000139686	2.48E-07
10.00012922	450.3373108	0.000139574	2.38E-07
9.999932766	442.3487701	0.000139066	2.37E-07
10.00006294	434.54216	0.000139022	2.16E-07
10.0005126	426.6414032	0.000138787	2.38E-07
10.00061464	418.5788422	0.000138422	2.35E-07
10.00061893	410.4799347	0.000138216	2.57E-07
10.00069237	402.5279236	0.000138007	2.45E-07
10.00035906	394.4240265	0.000137824	2.30E-07
10.0000391	386.6362457	0.000137739	2.34E-07
9.999992847	378.8365784	0.000137402	2.54E-07
9.999924183	370.854126	0.000137106	2.70E-07
9.999729633	362.2063293	0.00013694	2.15E-07
9.99942255	354.3443451	0.000136969	2.22E-07
9.999127388	346.4356232	0.000136177	2.41E-07
9.999327183	338.5545959	0.000136449	2.17E-07
9.999950409	330.4809418	0.000136145	2.38E-07
10.00068712	322.5351715	0.000135887	2.71E-07
10.00082445	314.8609924	0.000135551	2.37E-07
10.00030756	306.5900879	0.000135453	2.26E-07
10.00002956	298.7904205	0.000135105	2.31E-07
10.00019217	290.74086	0.00013486	2.14E-07
10.00020027	282.8081207	0.000134629	2.13E-07
10.00003767	274.8530731	0.000134307	2.65E-07
10.00003719	266.5968781	0.000134126	2.14E-07
10.00010681	258.6310577	0.00013392	2.24E-07
10.00032663	250.6792221	0.000133495	2.21E-07
10.00036001	242.8366089	0.000133396	2.41E-07
10.00033569	234.814743	0.000133241	2.25E-07
10.00013828	226.461235	0.000132874	2.28E-07
9.999812126	218.6875534	0.000132239	2.31E-07
9.999920845	210.5836411	0.000132049	2.30E-07
9.999753952	202.6730957	0.000131967	2.58E-07
9.999454498	194.8702621	0.000131523	2.36E-07
9.999489784	186.5430984	0.000131387	2.41E-07
9.999693871	178.725235	0.000131114	2.30E-07
10.00019598	170.818512	0.000130834	2.46E-07
10.00034714	162.8805847	0.000130628	2.64E-07
9.999997616	154.787674	0.000130134	2.18E-07
10.00001144	146.8056107	0.000130012	2.44E-07
10.00006485	138.8296204	0.000129281	2.27E-07
9.999611855	130.826786	0.000128863	2.36E-07
9.999312878	122.8628998	0.000129029	2.50E-07
9.999469757	114.637867	0.000128436	2.09E-07
9.999590874	106.7845421	0.000127936	2.61E-07
9.999658585	98.80413437	0.000127972	2.63E-07
10.00005198	90.90768814	0.000127438	2.38E-07
10.00054312	82.92737961	0.000127115	2.33E-07
10.00056887	74.7404213	0.000126682	2.29E-07
10.00032568	66.73410797	0.000126492	2.43E-07
9.999988079	58.86086845	0.000125959	1.92E-07
9.999825478	50.82859802	0.000125653	2.52E-07
9.999470711	42.88544846	0.000125098	2.45E-07
9.999341488	35.08403397	0.000124399	2.19E-07
9.99958086	26.86249638	0.000124174	2.44E-07
9.999727726	19.08272982	0.000123987	2.38E-07
9.999753475	10.7659564	0.000123253	2.21E-07
9.999861717	2.75784713	0.000122918	2.29E-07
9.999951839	-5.153194726	0.000122465	2.42E-07
10.00006056	-12.99006557	0.000122026	2.27E-07
10.00017214	-21.16721058	0.000121403	2.41E-07
10.00010443	-29.18681431	0.000121041	2.63E-07
9.999883175	-37.3659687	0.000120662	2.20E-07
9.999700546	-44.98151588	0.000120044	2.00E-07
9.999644756	-53.48931694	0.000119216	2.35E-07
9.999754906	-61.27434921	0.000118973	1.99E-07
9.999615669	-69.00392151	0.000118	2.34E-07
9.999530315	-76.9989624	0.000118008	2.60E-07
9.999687672	-85.0018158	0.000117253	2.45E-07
9.99987936	-93.23027039	0.000116572	2.51E-07
10.00007105	-101.2789803	0.000116084	2.45E-07
9.999844551	-109.2896118	0.000115739	2.50E-07
9.999490738	-117.1842918	0.000115008	2.25E-07
9.999753952	-125.2564201	0.000114772	2.21E-07
10.00020409	-132.9704132	0.000113863	2.52E-07
10.00051403	-140.9500275	0.000113449	2.31E-07
10.00046206	-149.0591583	0.00011307	2.36E-07
