Field (T)	Resistance (Ohms)
3.75E-01	2.0578230E+06
3.75E-01	2.0592620E+06
2.43E+00	2.0565310E+06
4.27E+00	2.0525410E+06
6.43E+00	2.0472940E+06
8.41E+00	2.0440010E+06
1.03E+01	2.0397090E+06
1.23E+01	2.0331580E+06
1.42E+01	2.0354210E+06
1.64E+01	2.0245040E+06
1.83E+01	2.0230490E+06
2.03E+01	2.0238810E+06
2.22E+01	2.0200030E+06
2.42E+01	2.0242180E+06
2.64E+01	2.0154370E+06
2.83E+01	2.0164720E+06
3.02E+01	2.0120950E+06
3.22E+01	2.0125360E+06
3.42E+01	2.0131540E+06
3.62E+01	2.0033240E+06
3.80E+01	2.0071550E+06
4.00E+01	2.0000620E+06
4.22E+01	1.9996630E+06
4.41E+01	2.0028940E+06
4.61E+01	1.9962380E+06
4.82E+01	2.0030510E+06
5.02E+01	2.0026580E+06
5.21E+01	2.0020450E+06
5.40E+01	1.9999050E+06
5.59E+01	1.9924100E+06
5.80E+01	1.9978170E+06
5.99E+01	1.9996410E+06
6.20E+01	1.9965580E+06
6.41E+01	1.9996600E+06
6.60E+01	1.9938460E+06
6.80E+01	1.9959730E+06
6.99E+01	1.9925660E+06
7.19E+01	1.9883370E+06
7.39E+01	1.9966240E+06
7.59E+01	1.9929030E+06
7.78E+01	1.9968720E+06
7.98E+01	1.9936430E+06
8.20E+01	1.9914060E+06
8.38E+01	1.9942060E+06
8.58E+01	1.9884210E+06
8.78E+01	1.9914230E+06
8.98E+01	1.9865400E+06
9.17E+01	1.9842190E+06
9.37E+01	1.9884160E+06
9.58E+01	1.9857210E+06
9.78E+01	1.9832110E+06
9.99E+01	1.9874370E+06
1.02E+02	1.9862690E+06
1.04E+02	1.9836880E+06
1.06E+02	1.9832630E+06
1.08E+02	1.9816230E+06
1.10E+02	1.9812700E+06
1.12E+02	1.9895560E+06
1.14E+02	1.9847600E+06
1.16E+02	1.9832240E+06
1.17E+02	1.9805300E+06
1.20E+02	1.9792640E+06
1.22E+02	1.9790220E+06
1.24E+02	1.9776920E+06
1.25E+02	1.9831700E+06
1.27E+02	1.9804140E+06
1.30E+02	1.9776820E+06
1.31E+02	1.9852410E+06
1.33E+02	1.9808540E+06
1.36E+02	1.9786910E+06
1.37E+02	1.9820980E+06
1.39E+02	1.9793580E+06
1.41E+02	1.9750610E+06
1.43E+02	1.9784070E+06
1.45E+02	1.9783930E+06
1.47E+02	1.9779870E+06
1.49E+02	1.9780320E+06
1.51E+02	1.9772890E+06
1.53E+02	1.9785100E+06
1.55E+02	1.9754830E+06
1.57E+02	1.9703990E+06
1.59E+02	1.9738910E+06
1.61E+02	1.9789860E+06
1.63E+02	1.9758460E+06
1.65E+02	1.9719640E+06
1.67E+02	1.9747330E+06
1.69E+02	1.9708120E+06
1.71E+02	1.9694360E+06
1.73E+02	1.9701450E+06
1.75E+02	1.9681440E+06
1.77E+02	1.9774780E+06
1.79E+02	1.9713570E+06
1.81E+02	1.9714130E+06
1.83E+02	1.9722310E+06
1.85E+02	1.9718140E+06
1.87E+02	1.9753410E+06
1.89E+02	1.9727480E+06
1.91E+02	1.9700840E+06
1.93E+02	1.9690990E+06
1.95E+02	1.9688800E+06
1.97E+02	1.9664120E+06
1.99E+02	1.9717870E+06
2.01E+02	1.9666750E+06
2.03E+02	1.9650610E+06
2.05E+02	1.9712140E+06
2.07E+02	1.9648580E+06
2.09E+02	1.9669900E+06
2.11E+02	1.9663810E+06
2.13E+02	1.9629620E+06
2.15E+02	1.9646790E+06
2.17E+02	1.9651820E+06
2.19E+02	1.9604620E+06
2.21E+02	1.9601820E+06
2.23E+02	1.9645280E+06
2.25E+02	1.9651880E+06
2.27E+02	1.9617120E+06
2.29E+02	1.9648150E+06
2.31E+02	1.9614420E+06
2.33E+02	1.9636890E+06
2.35E+02	1.9622350E+06
2.36E+02	1.9631780E+06
2.39E+02	1.9649110E+06
2.41E+02	1.9656040E+06
2.43E+02	1.9644620E+06
2.45E+02	1.9667080E+06
2.46E+02	1.9672130E+06
2.49E+02	1.9618850E+06
2.51E+02	1.9594760E+06
2.53E+02	1.9668490E+06
2.55E+02	1.9601950E+06
2.57E+02	1.9596420E+06
2.59E+02	1.9644800E+06
2.61E+02	1.9640950E+06
2.63E+02	1.9600990E+06
2.65E+02	1.9613930E+06
2.67E+02	1.9615810E+06
2.68E+02	1.9594450E+06
2.70E+02	1.9549870E+06
2.72E+02	1.9550670E+06
2.74E+02	1.9604360E+06
2.76E+02	1.9528060E+06
2.79E+02	1.9546510E+06
2.80E+02	1.9575760E+06
2.82E+02	1.9525650E+06
2.84E+02	1.9628090E+06
2.86E+02	1.9540690E+06
2.88E+02	1.9518270E+06
2.90E+02	1.9610810E+06
2.92E+02	1.9549970E+06
2.94E+02	1.9548500E+06
2.96E+02	1.9575630E+06
2.98E+02	1.9515790E+06
3.00E+02	1.9615580E+06
3.02E+02	1.9527860E+06
3.04E+02	1.9546610E+06
3.06E+02	1.9531110E+06
3.08E+02	1.9538320E+06
3.10E+02	1.9571490E+06
3.12E+02	1.9557660E+06
3.14E+02	1.9578490E+06
3.16E+02	1.9586070E+06
3.18E+02	1.9540730E+06
3.20E+02	1.9533010E+06
3.22E+02	1.9515690E+06
3.24E+02	1.9522780E+06
3.26E+02	1.9532050E+06
3.28E+02	1.9561120E+06
3.30E+02	1.9556350E+06
3.32E+02	1.9547970E+06
3.34E+02	1.9511570E+06
3.36E+02	1.9532180E+06
3.38E+02	1.9540330E+06
3.40E+02	1.9502920E+06
3.42E+02	1.9553340E+06
3.44E+02	1.9453150E+06
3.46E+02	1.9542140E+06
3.48E+02	1.9564510E+06
3.50E+02	1.9554930E+06
3.52E+02	1.9440400E+06
3.54E+02	1.9606180E+06
3.56E+02	1.9468830E+06
3.58E+02	1.9503120E+06
3.60E+02	1.9534700E+06
3.62E+02	1.9546560E+06
3.64E+02	1.9457240E+06
3.66E+02	1.9505250E+06
3.68E+02	1.9506760E+06
3.70E+02	1.9472230E+06
3.72E+02	1.9484210E+06
3.74E+02	1.9503330E+06
3.76E+02	1.9514730E+06
3.78E+02	1.9496970E+06
3.80E+02	1.9487940E+06
3.82E+02	1.9458730E+06
3.84E+02	1.9487360E+06
3.86E+02	1.9481260E+06
3.88E+02	1.9438460E+06
3.90E+02	1.9414100E+06
3.92E+02	1.9495960E+06
3.94E+02	1.9452030E+06
3.96E+02	1.9503870E+06
3.98E+02	1.9426580E+06
3.99E+02	1.9520240E+06
4.02E+02	1.9471770E+06
4.04E+02	1.9497310E+06
4.06E+02	1.9474670E+06
4.07E+02	1.9492860E+06
4.09E+02	1.9448790E+06
4.12E+02	1.9460980E+06
4.13E+02	1.9458480E+06
4.16E+02	1.9514500E+06
4.18E+02	1.9458470E+06
4.19E+02	1.9436300E+06
4.21E+02	1.9445540E+06
4.23E+02	1.9430610E+06
4.25E+02	1.9436310E+06
4.27E+02	1.9424510E+06
4.29E+02	1.9450400E+06
4.31E+02	1.9452210E+06
4.34E+02	1.9440720E+06
4.35E+02	1.9465270E+06
4.37E+02	1.9437900E+06
4.39E+02	1.9434130E+06
4.41E+02	1.9418220E+06
4.43E+02	1.9425250E+06
4.45E+02	1.9457470E+06
4.47E+02	1.9475310E+06
4.49E+02	1.9390010E+06
4.51E+02	1.9444440E+06
4.53E+02	1.9348060E+06
4.55E+02	1.9379420E+06
4.57E+02	1.9457780E+06
4.59E+02	1.9368710E+06
4.61E+02	1.9369120E+06
4.63E+02	1.9362650E+06
4.65E+02	1.9364160E+06
4.67E+02	1.9392760E+06
4.69E+02	1.9476470E+06
4.71E+02	1.9386670E+06
4.73E+02	1.9420010E+06
4.75E+02	1.9438670E+06
4.77E+02	1.9395390E+06
4.79E+02	1.9406950E+06
4.81E+02	1.9425950E+06
4.83E+02	1.9392130E+06
4.85E+02	1.9370780E+06
4.87E+02	1.9411300E+06
4.89E+02	1.9411630E+06
4.91E+02	1.9394160E+06
4.93E+02	1.9403570E+06
4.95E+02	1.9393520E+06
4.97E+02	1.9346960E+06
4.99E+02	1.9385410E+06
5.01E+02	1.9406660E+06
5.03E+02	1.9385140E+06
5.05E+02	1.9353650E+06
5.07E+02	1.9389680E+06
5.09E+02	1.9330700E+06
5.11E+02	1.9325320E+06
5.13E+02	1.9428860E+06
5.15E+02	1.9349630E+06
5.17E+02	1.9440550E+06
5.19E+02	1.9320650E+06
5.21E+02	1.9390980E+06
5.23E+02	1.9314540E+06
5.25E+02	1.9398650E+06
5.27E+02	1.9372970E+06
5.29E+02	1.9370010E+06
5.31E+02	1.9376900E+06
5.33E+02	1.9361940E+06
5.35E+02	1.9370980E+06
5.37E+02	1.9417300E+06
5.39E+02	1.9362670E+06
5.41E+02	1.9318480E+06
5.43E+02	1.9355730E+06
5.45E+02	1.9348890E+06
5.47E+02	1.9333960E+06
5.49E+02	1.9348380E+06
5.51E+02	1.9368350E+06
5.53E+02	1.9381500E+06
5.55E+02	1.9350910E+06
5.57E+02	1.9395500E+06
5.59E+02	1.9321420E+06
5.60E+02	1.9345910E+06
5.63E+02	1.9334020E+06
5.65E+02	1.9303590E+06
5.67E+02	1.9364080E+06
5.68E+02	1.9387210E+06
5.71E+02	1.9320060E+06
5.73E+02	1.9343830E+06
5.74E+02	1.9333910E+06
5.77E+02	1.9364910E+06
5.78E+02	1.9362230E+06
5.80E+02	1.9292720E+06
5.83E+02	1.9356490E+06
5.85E+02	1.9306110E+06
5.87E+02	1.9321140E+06
5.88E+02	1.9319090E+06
5.90E+02	1.9347060E+06
5.92E+02	1.9335990E+06
5.94E+02	1.9339240E+06
5.96E+02	1.9307620E+06
5.98E+02	1.9368100E+06
6.00E+02	1.9306700E+06
6.02E+02	1.9351030E+06
6.04E+02	1.9379770E+06
6.06E+02	1.9365300E+06
6.08E+02	1.9329030E+06
6.10E+02	1.9323010E+06
6.12E+02	1.9342630E+06
6.14E+02	1.9307600E+06
6.16E+02	1.9373810E+06
6.18E+02	1.9314200E+06
