Field (T)	Resistance (Ohms)
907.2737	2360619
910.0178	2355898
912.4711	2355024
915.2361	2354462
917.6548	2346638
920.2468	2345644
922.7976	2345529
925.1883	2340487
927.8492	2358916
930.3788	2364692
932.9932	2361918
935.5601	2353180
937.9711	2341962
940.5818	2344628
943.1339	2359343
945.6841	2360437
948.2363	2365702
950.8558	2360979
953.3802	2361160
955.9962	2367992
958.4289	2365347
961.0959	2355681
963.4882	2353854
966.1733	2355227
968.767	2343269
971.1771	2345980
973.8101	2363581
976.392	2362524
978.8821	2350571
981.477	2352075
983.9754	2355114
986.4774	2365154
989.0762	2360339
991.5399	2344198
994.1312	2348561
996.6787	2364886
999.2809	2358314
1001.712	2346753
1004.281	2368114
1006.88	2353322
1009.583	2352084
1012.019	2365496
1014.45	2345372
1017.08	2359121
1019.758	2347073
1022.097	2362268
1024.812	2349947
1027.309	2366926
1029.75	2341454
1032.438	2363241
1034.965	2355854
1037.484	2354686
1040.045	2355188
1042.645	2359152
1045.136	2352488
1047.635	2364876
1050.208	2346547
1052.724	2364812
1055.374	2345779
1057.852	2365028
1060.423	2346366
1063.067	2361382
1065.638	2356602
1068.041	2350174
1070.612	2368417
1073.154	2363131
1075.768	2354370
1078.315	2366839
1080.959	2353164
1083.468	2355453
1085.983	2374149
1088.487	2355089
1091.081	2344398
1093.596	2353049
1096.112	2369770
1098.714	2368116
1101.156	2370040
1103.851	2368786
1106.374	2367629
1108.883	2373223
1111.516	2358889
1113.942	2358474
1116.563	2360864
1119.093	2374022
1121.627	2370938
1124.273	2366523
1126.568	2367741
1129.074	2366741
1131.694	2348367
1134.255	2347160
1136.798	2351355
1139.471	2363926
1141.876	2368979
1144.451	2358487
1146.965	2344670
1149.583	2353676
1152.062	2369527
1154.564	2346936
1157.076	2369786
1159.699	2352640
1162.248	2354885
1164.916	2362442
1167.414	2358646
1169.904	2352759
1172.529	2352957
1174.987	2369519
1177.574	2345540
1180.133	2349696
1182.723	2363865
1185.169	2372323
1187.779	2354983
1190.415	2345481
1192.929	2362169
1195.455	2370707
1198.022	2369839
1200.598	2369442
1203.169	2370560
1205.733	2363535
1208.15	2368981
1210.583	2362162
1213.211	2366228
1215.768	2360684
1218.4	2359393
1220.99	2365007
1223.597	2369321
1225.938	2367529
1228.528	2374750
1231.147	2366096
1233.934	2362437
1236.122	2344193
1238.664	2360499
1241.306	2357977
1243.922	2352456
1246.514	2361172
1248.995	2365704
1251.504	2361086
1254.225	2349259
1256.641	2366457
1259.276	2352695
1261.821	2359120
1264.292	2351625
1266.83	2361131
1269.296	2361793
1271.901	2346665
1274.702	2360023
1277.021	2362780
1279.769	2356228
1282.132	2352913
1284.689	2352573
1287.227	2354730
1289.87	2360535
1292.243	2346393
1294.923	2363572
1297.38	2343189
1299.919	2358124
1302.516	2354497
1305.095	2353220
1307.8	2355978
1310.386	2359468
1312.852	2348899
1315.329	2358094
1317.883	2356497
1320.492	2349910
1322.868	2362920
1325.479	2358466
1328.107	2352448
1330.775	2351366
1333.227	2353605
1335.737	2353260
1338.424	2355914
1340.798	2355239
1343.532	2361657
1346.12	2363040
1348.556	2357768
1350.899	2355534
1353.641	2348488
1356.168	2358647
1358.657	2364394
1361.357	2352344
1363.824	2364068
1366.282	2348754
1369.033	2365900
1371.509	2348239
1374.015	2359278
1376.657	2357970
1379.006	2351435
1381.572	2351440
1384.109	2355880
1386.873	2356036
1389.443	2353397
1391.879	2355756
1394.383	2357734
1397.1	2359041
1399.578	2356136
1402.146	2346321
1404.717	2350582
1407.266	2359229
1409.7	2353413
1412.278	2348504
1414.937	2361050
1417.179	2347048
1420.004	2352689
1422.537	2360241
1425.231	2358560
1427.665	2349631
1430.137	2354203
1432.442	2357589
1435.105	2354370
1437.792	2355772
1440.493	2363384
1442.803	2348656
1445.443	2358046
1447.981	2358598
1450.528	2355383
1453.116	2351690
1455.608	2359975
1457.987	2361027
1460.662	2355182
1463.177	2343798
1465.839	2364469
1468.271	2350834
1471.081	2347355
1473.353	2360191
1476.229	2355454
1478.566	2352165
1481.094	2345580
1483.665	2359154
1486.333	2343779
1488.814	2370013
1491.318	2345588
1493.75	2358834
1496.467	2344664
1498.902	2364209
1501.917	2362970
1504.453	2346818
1507.174	2355451
1509.561	2360038
1512.19	2350964
1514.762	2353081
1517.229	2352730
1519.964	2359557
1522.579	2359976
1524.899	2352625
1527.442	2355931
1529.963	2360314
1532.714	2357382
1535.147	2347835
1537.65	2363416
1540.23	2355088
1542.718	2349726
1545.245	2348229
1547.736	2358855
1550.394	2342726
1552.972	2357858
1555.604	2353578
1558.224	2356384
1560.794	2346361
1563.206	2339696
1565.495	2348056
1568.367	2348046
1570.602	2349771
1573.293	2351785
1576.047	2356350
1578.535	2342412
1581.119	2358787
1583.646	2345873
1586.174	2348321
1588.714	2357706
1591.275	2350900
1593.702	2339362
1596.235	2353621
1598.917	2342012
1601.585	2353216
1604.052	2353291
1606.532	2344063
1609.171	2350375
1611.573	2347623
1614.09	2342442
1616.768	2358606
1619.176	2344375
1621.709	2342844
1624.709	2350095
1626.971	2343278
1629.573	2343638
1632.127	2347562
1634.667	2340759
1637.222	2356008
1639.612	2346683
1642.437	2346693
1644.885	2348996
1647.5	2349045
1649.832	2346837
1652.426	2356439
1655.175	2339200
1657.502	2359140
1660.083	2346765
1662.648	2336240
1665.421	2353565
1667.771	2338402
1670.423	2354775
1672.967	2350147
1675.418	2342637
1678.074	2351372
1680.832	2346005
1682.919	2342354
1685.724	2349467
1688.227	2350350
1690.537	2348099
1693.39	2346954
1696.041	2353098
1698.269	2345960
1700.917	2347136
1703.505	2352207
1706.079	2347464
1708.49	2352095
1711.111	2344618
1713.666	2347690
1716.096	2339800
1718.71	2341909
1721.342	2347638
1724.044	2357122
1726.477	2347494
1729.289	2345084
1731.591	2342539
1734.149	2345396
